Lifestyle,,,,,,,,Class,Subclass
"No, it really isn't. The commentator changed percentages. First wrote\n\n\nBBC News\nThe rental sector has decreased massively.\n70% of people own their home.\nThen what happened?\n\n\nYou can say \""No\"" but I am just quoting available facts.\nIn 2016 36% rented.\nHome ownership falling to 63.5% rounded up to 64% isn't 70%, is it.",,,,,,,,F,
Lol - love that - I suppose I'm a bit like that. You've hit the nail on the head.,,,,,,,,O,J
 This happened in the sixties ans seventies when too much regulation discouraged people from renting out.,,,,,,,,O,R
"They're not 'providing a service', they're hoarding a limited resource (property) and ransoming it out to the unfortunate people ",,,,,,,,O,R
all the young uns have a degree in media studies or some other nonsense\n\nThat will be nonsense about one of the largest sectors in the world,,,,,,,,O,R
"Nowadays, people are left waiting months or years for major repairs like front door locks or broken windows. Minor work doesn't get done",,,,,,,,O,J
They are a leading drain on our economy ,,,,,,,,O,R
"Oh wow! This really is news isn't it! Under 30's spending a whole 32% less on DIY each yeah, that's a huge change",,,,,,,,O,R
"From a landlord's perspective (not BTL in my case) I can understand the no holes policy, like the article says the average tenant has no idea how to do this stuff properly",,,,,,,,O,A
"I think buy to let landlords are also to blame for the crisis in Syria, the rise of isis, the refugee crisis, global warming ",,,,,,,,O,J
You don't call her saying the lightbulb needs changing / you call her saying the lights don't work and the house is dangerous and needs rewiring,,,,,,,,O,A
Your partner's daughter is entitled to want to have a meal on her birthday with her parents,,,,,,,,O,A
"It isn't one night a yea, though, is it? It is an ongoing problem, with the birthday being cited as just one example.",,,,,,,,O,J
I think the father is also trying to keep everyone he loves as happy as he can,,,,,,,,O,J
" He is only going along to appease these two harridans, who are obviously - to me - still attempting to keep him under the thumb",,,,,,,,O,J
" So it is not just 'some occasions' but, by implication, every occasion.",,,,,,,,O,R
"My ex had been divorced for years when we met, his children were welcoming and kind",,,,,,,,O,S
I am absolutely appalled at the vitriol being thrown at you for simply expecting what most of us take for granted,,,,,,,,O,A
"I agree. The more fuss she makes, the less likely there's going to be a happy ending.",,,,,,,,O,J
There is a new era happening in familial relationships,,,,,,,,O,R
 It was never acrimonious. Or personal. We agreed to disagree sometimes.,,,,,,,,O,S
"It always amazes me how many women (sadly it is usually women), get so offended by things like this ",,,,,,,,O,A
Who would want to be in on that dinner anyway? I wouldn't. ,,,,,,,,O,A
Giving your father the ultimatum that he can come to things if he agrees to leave his wife behind is not a kind thing to do to him.,,,,,,,,O,A
Thank God for this. I though I was the only one here able to see that a man who is divorced has every right to move on ,,,,,,,,O,J
Your dad is showing that sort of loyalty a husband should to his wife,,,,,,,,O,J
"I honour my stepchildren's desire to see their dad without me in tow, graciously and gratefully",,,,,,,,O,A
"For me, the mention of the Facebook photo is what made me think she was being a bit mischievous",,,,,,,,O,J
" The fault for his lying, and the feeling that he must lie about something as reasonable as going for his daughter's birthday meal",,,,,,,,O,J
"It's a can of worms and always will be in many families, apparently.",,,,,,,,O,J
"You're right, it's not healthy",,,,,,,,O,J
 They must have been comfortable enough in each other's presence,,,,,,,,O,J
 you can hardly blame her for not offering up her birthday celebration as a family 'bonding' session.,,,,,,,,O,J
My parents divorced very amicably when I was 8 and it was absolutely fine until I was an adult,,,,,,,,O,R
I cannot see how the daughter is at fault here,,,,,,,,O,J
"Perceptions change with time, although technically 37 is middle aged, I don't think most people now consider 37 year olds as 'middle aged",,,,,,,,O,J
Abandoning your kids who you've known for 37 yearsWhat an exaggeration,,,,,,,,O,J
This could have been me writing this 20 years ago. But I was wrong and so is the OP,,,,,,,,O,J
"The partner shouldn't have lied, it's as simple as that.",,,,,,,,O,J
 don't take offense at the behaviour of the daughter. But it is pretty bad behaviour of her partner to lie.,,,,,,,,O,J
"As the daughter of divorced parents, i understand how incredibly difficult it is to make both your parents happy",,,,,,,,O,A
What about the pain that the daughter causes her father by excluding his life-partner? ,,,,,,,,O,J
Boyfreinds and Girlfreinds can upset the inner-circle vibe for the most part and if you werea little lesscontrolling you would understand that,,,,,,,,O,A
"It is her own birthday, the daughter is entitled to invite whomever she pleases",,,,,,,,O,J
 You accuse the guy of being spineless and then come over as completely heartless.,,,,,,,,O,J
" My parents got together at 19 and stayed together until my father's death a few years ago, so I don't have a personal issue with divorc",,,,,,,,O,A
As long as his daughters judge there to be residual acrimony between the adults in their lives they will continue to exploit those divides ,,,,,,,,O,J
 Because it creates a certain dynamic and intimacy that is not there when they do bring them along,,,,,,,,O,J
"I'll try to explain.Short explanation: It's about family circles. They, like me, like most, have not only one of themit nicely. No wonder he has a conflict. At least, he is not going to be bored.",,,,,,,,O,S
 But if these soppy people wish to use the vague term partner to explain their relationships what ho what ho.,,,,,,,,O,J
" If he's too frightened to tell you the truth because of how you'll react, you're pretty well doomed.",,,,,,,,O,A
"There is so much here, that it is time for the O.P. to back off",,,,,,,,O,J
" From day one we accepted one anothers partners, even though my exhusbands partner was my friend",,,,,,,,O,R
My daughter in turn accepted mine and my ex's partner,,,,,,,,O,R
nIf the daughter is 37 chances are she had her own life and doesn't really know you if you've been on the scene for less than four years,,,,,,,,O,J
I don't see why the partner should be obliged to try to shoehorn the OP into the family ,,,,,,,,O,J
"Ah, the Windmill pies were fabulous. I've only eaten at the Guinea",,,,,,,,O,S
"Blimey, that brings back memories of food fights and wild debauchery at our Christmas parties at the Guinea Grill ",,,,,,,,O,J
"While they aren't giving anything away, still, the prices are in line with the competition",,,,,,,,O,J
It seems you have completely missed the point Jay was making,,,,,,,,O,R
"Sorry, I shouldn't comment when I'm in such an appalling mood.",,,,,,,,O,S
"I don't need to go on that, or any other cruise, to know that I would hate every moment of it.",,,,,,,,O,S
"QM2 left Southampton 1700hrs today for Hamburg, arriving 0900hrs local Friday 27 May ",,,,,,,,O,R
 I blame honey sandwiches. Paddington bear gas a lot to answer for.,,,,,,,,O,J
"Firstly, you make an incorrect inference about my name",,,,,,,,O,J
"It helps to project your issues onto others, I understand and sympathise. Those Billie goats must be really stressing you out. Life sounds so hard for you, you poor little troll.",,,,,,,,O,S
You state your opinions as if they are facts and have decided that anyone that likes a drink is an alcoholic. ,,,,,,,,O,A
The Vikings had been resident in the peninsula which was later termed 'Normandy' from 800 A.D.,,,,,,,,O,J
Respirating is also a way of propelling oneself towards inevitable death,,,,,,,,O,A
"If I was going to be a physicist or something useful, I would have already achieved that by now",,,,,,,,O,A
This research has long been questioned as it fails to correct for the changing profile of drinking over time,,,,,,,,F,
"Only if you are doing both.\nAround 1700 people die on the roads each year, 8700 die from alcohol.",,,,,,,,F,
Sadly doctors can be some of the worst drinkers,,,,,,,,O,J
It put some science behind 'myths' so for instance people may guess that a good meal help,,,,,,,,O,J
" A large chunk of the population isn't even going to try. 28 units a week, even 21, was maybe something to aspire to.",,,,,,,,O,J
"I probably drink way too much - but mostly at home and I never, ever drive drunk.",,,,,,,,O,S
TV loves these waste of time programmes,,,,,,,,O,J
"Well I'm not giving it up, I won't go back to being a crap dancer",,,,,,,,O,S
People still drink... Even to socialise? That's amazing thought it had died out already.,,,,,,,,O,J
 Why do all comments involving alcohol on the Guardian always descend into this idiotic dichotomy ,,,,,,,,O,R
Premature death by alcohol being far more preferable.,,,,,,,,O,J
"I seem to recall that the Soviet Union (and the whole of the Eastern bloc) had astonishing problems with alcohol\n\nYou recall wrong. Russia, Ukraine, Belarus etc. have terrible problems with alcohol abuse which the USSR didn't have.\nHaving said which, alcoholism and alcohol consumption in general have been falling in this country for decades so if neo-liberalism is a factor, it's a positive one (possibly due to the way it reduces our disposable income).",,,,,,,,F,
Our dog-eat-dog neoliberal culture'\nThat's a crap name for a dog.,,,,,,,,O,J
"When I lived in a small town on France, there was a road where the sculptor Arisitide Maillol used to live called Rue Aristide Maillol. I always thought that was brilliant - imagine getting into a taxi so drunk that you can't remember you live but you can just about remember your name.",,,,,,,,F,
"Its nothing new, people have been boffing booze and other drugs since time immemorial. There are theories out there that early man only stopped being nomadic because staying put and cultivating crops granted them the ability to brew ale.",,,,,,,,F,
"I see people staggering in piss-stained jeans, people with dried blood on their t-shirts, people puking down lamp posts, people in handcuffs, people bellowing and throwing bottles down a quiet residential street at three a.m. and wonder. Is that what 'having fun' looks like in the twenty-first century?",,,,,,,,O,J
No need to stay up late. You'll see most of this and more in Leeds before it even gets dark. There's a mobile A&E unit on the main shopping street at weekends \u2013 that's a good place to see the show. I once saw a woman having a fight with three policemen outside Debenhams and the shop was still open.,,,,,,,,O,R
The alcohol lobby has more too much sway for that to have happened and osborne loves both his drink and its duty.,,,,,,,,O,J
Alcohol is rubbish. If you can't have fun without it then you have a problem.,,,,,,,,O,J
"Yes, let's all live to the age of 112 and die of boredom in a care home where only one of the staff actually speaks English, and your fellow patients' brains have all been fried by daytime TV.",,,,,,,,O,J
"I spent the first five minutes of The Catch entranced by Mireille Enos, and gleeful because she's so very watchable and, excepting World War Z, I've not seen her on TV since Big Love. Then it all began to unravel. Either she was acting over a bad dose of flu, or she'd been told to channel Meredith Grey, all husky little girl voice and mannerisms. Then her character made a string of highly unconvincing and spectacularly bad decisions in an attempt to preserve a glossy veneer of control - yes, it's Olivia Pope. Tottering further into her broken-into apartment on high heels - rather than taking them off or calling for help - was the final straw. That I can't remember her character name is not a good sign. I fear Shondaland is becoming a victim of its own success, as everything starts to feel recycled. I'll try one more episode though, because - Mireille Enos!",,,,,,,,O,J
Well what we do know it that alcohol is a very effective purge,,,,,,,,O,J
" I might have overstated that. I don't think capitalists consciously seek to make life more insecure and unstable but they certainly benefit from keeping us all on our toes, insecure in our work, in hock to mortgage lenders.",,,,,,,,O,J
"I admire anyone who doesn't know their sport. Hats off to him, especially if it was a deliberate mistake done with a grin. I hope he also says that there are two types of car as well - egg-shaped and square ones. Because there are.",,,,,,,,O,A
"It's allegedly so 'harmful' that is specifically excluded from the Psychoactive Substances Act 2016, therefore it is still legal.\nSo much for your 'theories'",,,,,,,,F,
I didn't think the Saint Bernard's brought brandy was to warm people up. I thought the idea was to get the lost climbers pissed and they'd find their way home like drunks always do.,,,,,,,,O,J
"It's done badly more often than it's done well, usually by yoofs who think having an opinion is the same as writing. Not suitable for news reporting, maybe, but perfectly apt for a humorous TV review.",,,,,,,,O,J
"once again we blame landlords-we are building 140,000 houses and need to build 300,000, this will mean cheaper houses and lots of DIY skills.Its simply supply and demand-in Somerset Where I live, about 93% of the land is untouched, lets go mad and release 1% for building land!",,,,,,article comments,,O,A
"I remember some years ago, trying to sell my rental. None of the young people were interest. It must have been seem by 60 people, before agents found a buyer. The buyer were a young couple, who fixed the place up. The vast majority of young people want a ready made property.",,,,,,,,F,
reached 50% home ownership by 1971 - and 58% by 1980 - hence ownership has been majority tenure for 45 yrs.,,,,,,,,F,
PRS does house a far younger demographic than SRS - with latter having a major element of sick/disabled/carers/retired - hence around 80% are HB claimants who are very unlikely to ever move - so there is within social housing the least potential to move around in pursuit of work.\nPrivate rental after expiry of initial 6/12 months let does avail moving with just 2 calendar months notice from a rent due date - and with most jobs needing a month's notice one can move within PRS far more quickly than any other sector.,,,,,,,,F,
"Could be because schools are concentrating on A-C academic grades rather than practical experience of handling wood and metal materials, turning these into useful objects, at school.",,,,,,,,O,J
"The landlord started talking about selling more than a year ago (when they were doing the garden). He also put the rent up a bit, but it was quite low, so the increase was reasonable. He's now decided not to sell, things seem OK. The work was not major cost (some paint shared between 4 or 5 and the garden from seeds, cuttings etc.) \nIt's always a little unstable though. They've been lucky so far. One of their sharers moved out, and was a year before she discovered the couple already among the people there who gave her a room were making \u00a3100.00 plus off her a month so they could live cheaper! She luckily was able to move back recently, when another one left! So swings and roundabouts.",,,,,,,,O,
"How do you work that out? No one is doing any favours. The landlord provides the service and the tenant uses it. It's mutual benefit. The same as the restaurant. Bad landlords lose their customers just like bad restaurants lose them. Not everyone wants to buy property for various reasons. One being that they are only in a district for a short time or they haven't enough money or they simply don't want the responsibility. I spent years renting property. It's no big deal and much cheaper in the short run then buying. I now own property but it ties you down, sometimes is difficult to sell and often can get you into debt. These things aren't so simple and landlords provide a useful service.",,,,,,,,O,J
"So if you go to a restaurant and pay a fortune for shit food and shit service you should still be grateful because you're having your dinner cooked for you? Ultimately the relationship between landlord and tenant is that of service provider and customer. The tenant is doing you a favour by paying for the service you provide, not the other way round. As for bad tenants, they are a fact of life if you're a landlord. Always have been, always will be. If you can't accept that, don't be a landlord.",,,,,,,,O,A
"To be fair, if the tenant is prepared to spend their own time and money putting up fluorescent wallpaper then it would indicate that they are intending to stay for a long time. It's probably worth letting them do it. Cheaper to put that right once they've moved out than it is to have a high turnover of tenants.",,,,,,,,O,A
"Presumably the previous tenants had been charged for each hook left there. Reminds me of the first house my wife and I rented - listed on the inventory, to our amusement was 'full length mirror - broken' and sure enough there it was in the bedroom. We happened to know the previous tenant and mentioned it to him. It turned out that he'd accidentally broken it when moving out and had been charged \u00a375 for its replacement. I would have loved to have been a fly on the wall when he went to the letting agent to get his money back.",,,,,,,,O,R
Now your daughter has put all that work in she's almost certainly increased the rental value of the house. The fence may not be the only thing the landlord puts up.,,,,,,,,O,R
"Not so much 'can't be bothered' as simply 'can't' most landlords won't even allow you to bang in a nail to put a picture up, let alone put up a shelf or and like that. Some will allow it but insist that the hole is filled and painted when you move out. The landlord will conveniently forget what paint was used, so you end up having to redecorate the whole room at your expense. Landlord claims that your paint job is not up to scratch and withholds \u00a3200 of the deposit as he'll have to do it again. When you go back to the house a few months later to pick up any post the new tenant invites you in and you notice the living room paint job is exactly as you left it. Landlord has had living room decorated for free and a \u00a3200 cash bonus. That's what happened to me anyway.",,,,,,,,O,R
" Right to buy has removed so many homes from the social housing register. What happens once they are acquired (at a bargain price)?. Where are the stats on the capitalisation on that paper windfall, taking the money and running, leaving the rent to go through the roof? Plenty of anecotal evidence though.",,,,,,,,O,J
"Without paying deposits, a mantra of 'homes you and your family are proud to live in' and security of tenure, no, tenants do not move out unless needs change or they are spectacularly stupid and get evicted due to breaking their tenancy agreement albeit with lots of chances to make good before that happens. When you consider private rented homes it sounds to good to be true. What a mess we're getting into now.",,,,,,,,O,J
"Oh dear, typical lefty. Classic. If you think a home is ever going to be in the grasp of the vast majority of young people you are severely mistaken, let alone getting enough together to get a second house to rent out. It was a one-off equaliser that let some people cross the wealth gap while simultaneously widening it as the increased competition for houses pushed prices up. BTL mortgages are lovely for the owners - buy a house and then get some other people to pay off the mortgage instead of getting their own home like they could if house prices weren't so high. I'm not even suggesting they should be banned and I'm certainly not going to call for a string of administrative hoops to jump through - I'm simply suggesting that the rules should at least be fairer and if people won't maintain a decent property of their own volition it should be much easier to punish them for it. All of this is generally a very complex issue and there are many external factors which affect it, but I do believe that everyone has the right to be able to afford to own their own home on a reasonable income and that should come above the right of others to have the freedom to buy as many homes as they want and make a profit off them. Again, this whole business it incredibly complex and I certainly don't have the solution for it without some kind of direct and authoritarian governmental intervention and I wouldn't trust the Tories or Labour, or any of the other parties, not to screw it up completely. Probably the solution is to encourage and subsidise the building of properties specifically for people to buy to live in and do things like help young people save up for a deposit rather than hound landlords to sell up. Maybe provide a better base of council housing to try and put some brakes on rising rent prices and stop the ridiculous situation of so much of our tax money being spent on private rental properties for people on housing support.",,,,,,,,O,A
"This assumes that this entire generation has such great other skills and opportunities. Reality is they often don't. So some will need these skills to do it themselves, or do it for others.",,,,,,,,O,J
"Well, the Land Registry is the place for title ownership. It's \u00a33. \nIf that name differs to the person to whom a tenant pays their rent (excluding those hard working letting agents, naturally) then there may be something fishy going on.",,,,,,,,O,R
"As his living room was the same size as mine, the man next door asked me how many rolls of wallpaper I got to do my living room.\nI said, 'eight'. He said, 'eight rolls' ? 'Yes', I said.\nTwo weeks later he came to my door again and said, 'you told me you got eight rolls to do your living room' ? I said 'yes, eight rolls'.\nHe said, 'that's funny. I had four rolls left over'.\nI said, 'yes. So did I",,,,,,,,F,
"nI am merely quoting from two different sources.The BBC and the ONS.The figures do differ both in numbers of houses and percentages. I quote them both because even using the second set the point is made.\nMore people are owning homes than renting, renting has been in decline from 1916.\nThis paper and the person I was replying to would like to think that rental is taking over. \nUsing whatever figures you want ( including his) that is just not true.",,,,,,,,O,R
"No, it really isn't. The commentator changed percentages. First wrote\n\n\nBBC News\nThe rental sector has decreased massively.\n70% of people own their home.\nThen what happened?\n\n\nYou can say \""No\"" but I am just quoting available facts.\nIn 2016 36% rented.\nHome ownership falling to 63.5% rounded up to 64% isn't 70%, is it.",,,,,,,,F,
Lol - love that - I suppose I'm a bit like that. You've hit the nail on the head.,,,,,,,,O,J
Yes they are providing a service. They provide investment so that new properties can be built. If the properties are not available to be let then people will not be able to have anywhere to live. This happened in the sixties ans seventies when too much regulation discouraged people from renting out.,,,,,,,,O,R
"They're not 'providing a service', they're hoarding a limited resource (property) and ransoming it out to the unfortunate people who don't have their own property. If your point is that a lot of people are greedy scumbags and that the only way to get them to lift a finger that doesn't help themselves is to increase regulation then I agree. I would like to see regulations strict enough that anybody who isn't completely serious about being a good landlord will be put off ideally but we have a culture where any clown with some money available can buy a house and then rent it with absolute minimum effort.",,,,,,,,O,R
"all the young uns have a degree in media studies or some other nonsense\n\nThat will be nonsense about one of the largest sectors in the world. So, in 2016 it would be better for someone to do an apprenticeship in an area of manufacturing - which as we know is really booming right now, especially in the heavy industries - than it would to learn about something that a few billion people engage with everyday (yourself included) and continues to grow?\nI didn't study media myself, but I understand how vitally important it is that we have a strong knowledge base in that area.",,,,,,,,O,R
"Nowadays, people are left waiting months or years for major repairs like front door locks or broken windows. Minor work doesn't get done. And most tenants are too afraid to do the work anyway, because they can be evicted for it.\n\nEven as a cold-hearted landlord I agree this is bang out of order. It's self-defeating as well, it just makes the inevitable repairs even more pricey when they do get done. In my view local authorities just don't have the resources to police it properly so some of the dodgier landlords can do what they like.",,,,,,,,O,J
"Not at all. It may seem strange to you but one doesn't have to necessarily call for a socialist revolution to criticise the predatory buy to let culture which is rapidly raising property prices to unsustainable levels while simultaneously causing the consolidation of wealth and property into the hands of the already wealthy. They are a leading drain on our economy - if rents were cheaper or buying was more of an option to anyone not quite well off then young people (and other renters) would be able to go out and spend money rather than sit in with netflix all the time. At the same time, unless it's really bad landlords are not really punished for dragging their heels with repairs and maintenance as long as they do it once they've been ordered to, so it's in their best interests to just make it as difficult as legally possible for tenants to actually contact them and ask for repairs. It gets an extra few months, or even years, out of an appliance, furnishing or decoration so the savings will add up for them over the years.",,,,,,,,O,R
"Oh wow! This really is news isn't it! Under 30's spending a whole 32% less on DIY each yeah, that's a huge change! Oh hang on what that actually means is they were spending 158quid And now they are spending 108quid in a whole YEAR. They really have never spent much on DIY have they, maybe they now spend the 50 quid on broadband services and TV channels which simply didn't exist in 1996?",,,,,,,,O,R
"From a landlord's perspective (not BTL in my case) I can understand the no holes policy, like the article says the average tenant has no idea how to do this stuff properly. Bang a hole through a pipe and you'll flood the place, drill a hidden cable and you could die. Use the wrong fastener and your expensive heavy mirror will come clattering down on top of you. Getting a tradesman to do it would be very expensive. I don't really agree with the no-paint policy though, as long as the property were put back to its original state afterwards it would be fine by me. Having said that, it once caught me out because my first tenant thought it would be a great idea to paint all the coving gloss black. More of an annoyance than anything else and it wasn't worth chasing her for the cost of repainting it.",,,,,,,,O,A
"nI think buy to let landlords are also to blame for the crisis in Syria, the rise of isis, the refugee crisis, global warming and the fact that we have an obesity issueNot forgetting the price of washing powder has fallen as people who rent go to laundretteswhat absolute cobblers!",,,,,,,,O,J
You don't call her saying the lightbulb needs changing / you call her saying the lights don't work and the house is dangerous and needs rewiring. So she comes running fearing that your life may be in danger and she'll end up with a large fine and a criminal record.\nHang on ... I'm getting deja vu ... I wonder why ..,,,,,,,,O,A
"Your partner's daughter is entitled to want to have a meal on her birthday with her parents, her partner and no one else. Whilst I understand why that might be difficult, it will be far easier for all to find a way to navigate through this time if everyone can be as understanding as possible to the others' positions. As the \""new woman\"", unfortunately, you are automatically \""the bag guy\"". As unfair as that may be, it will be far easier for you to later assert that you are being treated unfairly if you can demonstrate that you have provided ample opportunity for your partner to spend time alone with his family. His daughter may be being immature, but there may also be good reasons for her wanting to eat with her parents and not you. Perhaps she has big news she would rather divulge to them first, or perhaps she needs to discuss something delicate/sensitive. It is not as if she has excluded you from a huge event (or has she?)\nAs an (adult) child of divorced parents, my siblings and I have made our father's new partner welcome at every occasion. One of those, however, was inappropriate (scattering our beloved's mother's ashes) and not out of choice: our father made it clear that he would not be prepared to attend without her. That was hurtful and took some getting over. That has happened, however, and we have found a way around any awkwardness. A birthday meal is not worth creating tension over. If you can show that you can give your partner's daughter(s) space and time with their father without you, I have a feeling they will be more inclined to invite you in future. Good luck.",,,,,,,,O,A
"It isn't one night a yea, though, is it? It is an ongoing problem, with the birthday being cited as just one example.",,,,,,,,O,J
"I think the father is also trying to keep everyone he loves as happy as he can\"".\nExcept the OP. He is sacrificing her happiness to keep his ex happy.",,,,,,,,O,J
"Why is everyone - four years after the divorce - dancing around the ex-wife's feelings? Why does a grown woman think it is appropriate to invite her divorced friends to her birthday party, rather than switching to a pattern of seeing them separately, now that they're divorced. Why is the man here to scared of upsetting his ex-wife to make another arrangement with his daughter? He is only going along to appease these two harridans, who are obviously - to me - still attempting to keep him under the thumb",,,,,,,,O,J
"If the other thing happens too. The OP is not complaining about the birthday as much as providing it as an example of the daughters excluding her. So it is not just 'some occasions' but, by implication, every occasion.",,,,,,,,O,R
"My ex had been divorced for years when we met, his children were welcoming and kind, his first wife was also very nice, but there were some occasions when they wanted to be together as the original family, without me. It didn't bother me, I didn't feel 'excluded', they were just having family time. Why not?",,,,,,,,O,S
"To the OP: I am absolutely appalled at the vitriol being thrown at you for simply expecting what most of us take for granted.\nFor a sympathetic, supportive - and, above all, informed - opinion on how to handle your situation visit this site:\nhttp://www.stepsforstepmothers.com/pboard2.html\nAnd good luck - you are not wrong to want more respect from your man.",,,,,,,,O,A
"I agree. The more fuss she makes, the less likely there's going to be a happy ending. She needs to accept that some people don't get on with her, and move on.",,,,,,,,O,J
There is a new era happening in familial relationships. The stereotype of the wicked step- mother is very strong among those who had fairy tales read to them. I am not so sure that the reality is not that there are very wicked step sisters in the mix. I married a widower whose wife died more than 5 years before I met him. His daughters told him that he had had a 28 year marriage and 3 kids (one deceased) and why could he not just be satisfied (they were still living at home fully supported at 28 and 22) ?\nThey refused to even meet me. They refused to attend the wedding. They demanded his entire estate while he is still alive. WOW. After almost 3 years of marriage they still refuse to even meet me. Their mother was east Indian and I am not. Their east Indian family encourages them in this stance. I cannot see it changing but the brutality to their aging father is shocking.,,,,,,,,O,R
"I as a teenager was incredibly hostile to both my father and his new wife. Then I grew up a bit. They left me and boyfriend alone with my baby sister for a long weekend. I was 17, she was about 8 months old. Visa stuff in South America. Years later, I left my first baby daughter with my father and step mother while in hospital having daughter #2. A more caring person you couldn't invent . We grew close over the years.\n And argued with each other about anything and everything. Hours on the phone. It was never acrimonious. Or personal. We agreed to disagree sometimes. Other times we changed our minds. I went to London to look after my baby sister following a road accident. I love her, she is my baby sister. Some people have tried to denigrate that. Notably, assessment people (even here in Switzerland): you grew up in family of three. .. now saying you have another, extra sister? I have a brother, a little sister and a baby sister. ",,,,,,,,O,S
"It always amazes me how many women (sadly it is usually women), get so offended by things like this when their new partner has something to do with their kids from a previous marriage. I've seen this with friends whose father's have remarried, and in one particular case, the step mum restricted the access of my friend to her own half-siblings, and in another, to my friend's own grandmother! If you cannot deal that your partner has a family already, has an ex, and through their kids they might have to see each other occasionally, do not date anybody with kids.",,,,,,,,O,A
"Who would want to be in on that dinner anyway? I wouldn't. Bf's ex-wife there, children that don't want me there. I'd happily stay home from that one. Husband needs to grow a pair though and not lie. Daughters don't like you. Get over it. You cannot force someone to either like or accept you. IF you had something to do with the breakup of the family in the first place, then, I'd say, you'll probably never be accepted. But it's not clear from the article (though it does hint at it). At the very end of the day however, it's the woman's birthday and she should have who she wants there. Snub or no snub.",,,,,,,,O,A
"Giving your father the ultimatum that he can come to things if he agrees to leave his wife behind is not a kind thing to do to him. Imagine how you would feel it your dad were to tell you that he never cared for your spouse, and from now on he doesn't want him along when he invites you over. Would you *really* leave your spouse behind in those circumstances? Your dad married this woman, he owes her the loyalty that that entails, and is absolutely right to refuse to have you treat her this way.",,,,,,,,O,A
"Thank God for this. I though I was the only one here able to see that a man who is divorced has every right to move on with a new partner, who shouldn't have to jump through hoops to be accepted in that role. Sheesh, if some of the people here treated their children's partners whom they don't like in the way that's been advocated here as something the OP shold expect and put up with....",,,,,,,,O,J
Your dad is showing that sort of loyalty a husband should to his wife. it is a shame he chose a not-very-nice person as his wife. But he would be a terrible husband if he let someone - anyone! - expect him to accept invitations that excluded his wife.,,,,,,,,O,J
"I honour my stepchildren's desire to see their dad without me in tow, graciously and gratefully. I know the stepmother scenario well. \nThe OP here hints at an ongoing campaign of troublemaking by the daughters, which is a different thing. I wish she had chosen a different scenario as her example, since the birthday bash one has become the focus, rather than the wider, ongoing problem.",,,,,,,,O,A
"For me, the mention of the Facebook photo is what made me think she was being a bit mischievous. I completely understand why she would want just her parents there. However, assuming that this is not the first time the OP has been excluded/not invited, she will have known that to then put it on FB would have been irksome. But then again, on the other hand, why shouldn't she be allowed to put a photo of her mother on? It sounds all very messy, and I don't think the OP is going to get the happy ending she seeks.",,,,,,,,O,J
"yes, I completely agree. The fault for his lying, and the feeling that he must lie about something as reasonable as going for his daughter's birthday meal, does not lie solely with him IMO",,,,,,,,O,J
